photoid,normalizedpublic
4384520267,1
4378253828,1
4381819561,0
4349253219,1
4331615714,1
4329670628,0
4372898949,1
4382752180,0
4356348443,1
4361996873,1
4384032300,0
4349716336,1
4329699070,0
4360287906,1
4336175210,0
4377309010,1
4366273145,0
4375538997,1
4360460535,1
4382541603,1
4376780580,1
4381798442,0
4383882688,0
4385117926,0
4384137394,1
4355438620,0
4375642387,1
4384954594,1
4358073344,1
4361581544,1
4409115257,0
4318116720,1
4382896090,0
4323356673,0
4363937156,1
4371961753,1
4349266233,1
4384103082,0
4363672893,1
4385136376,0
4379566388,0
4376689501,0
4381819561,0
4357085555,0
4353555031,0
4383838890,0
4360809649,0
4381685524,0
4345583519,1
4379607685,0
4370779019,1
4378895286,1
4331450727,1
4357085555,0
4382296784,1
4376356571,0
4367594113,0
4360273108,1
4372085006,1
4341485883,0
4328106763,0
4380591706,1
4381419798,1
4381285685,1
4333271613,1
4357085555,0
4359539435,1
4375149173,0
4353117303,0
4381081869,0
4315461324,0
4320666215,0
4375611395,0
4382206304,0
4379893847,0
4379584780,1
4369243094,1
4354688093,0
4361593379,0
4316436404,0
4370748772,1
4378787887,1
4379937427,0
4381819545,1
4357297744,1
4375771943,1
4335264115,1
4360314863,1
4379220723,0
4369769103,1
4363734869,0
4382296244,1
4328100940,0
4379697267,1
4364088946,0
4360270580,0
4381103594,1
4345869300,1
4379280673,0
4341013044,0
4383073003,1
4379714814,0
4382312470,0
4382076676,1
4356795013,1
4382474880,0
4352061303,0
4334769082,1
4365694248,1
4331808437,0
4372732902,1
4373632094,1
4376361057,0
4351761640,1
4316762461,1
4359640886,1
4329239661,1
4363734869,0
4349349045,0
4383393470,1
4361593311,1
4377480096,0
4324349131,0
4375214128,1
4355000763,0
4379280673,0
4379630894,0
4379178470,1
4332037575,0
4371050857,1
4372249526,0
4380838067,1
4362332262,0
4366467558,0
4377350105,1
4357958564,1
4377926113,0
4373520839,1
4383577988,0
4380724902,0
4371199502,1
4381026132,1
4378263663,1
4364716353,0
4379280673,0
4375407099,0
4379197748,1
4383671454,0
4341533437,1
4356505297,1
4381804891,1
4355164736,1
4355633827,0
4375143579,0
4315754254,1
4344732641,0
4362627892,1
4361621750,0
4375096427,1
4376009410,0
4373568734,1
4339167658,1
4371582358,0
4350199271,1
4376554781,0
4379556981,1
4338264264,1
4317133520,0
4318507149,1
4416077627,0
4314303211,1
4372184924,1
4329397373,0
4314985298,1
4355191428,1
4373500508,0
4347135594,0
4316798542,1
4376051898,1
4356517383,1
4383601177,1
4329250808,1
4378030299,1
4376009410,0
4383905166,1
4330493604,0
4317434060,1
4356633709,1
4409554378,0
4360307434,1
4366522099,0
4366062004,1
4379084425,0
4379290116,1
4338661716,0
4376340827,0
4376390714,1
4343918779,0
4377302274,1
4365309721,1
4403573441,0
4316033576,0
4353128008,1
4385033395,0
4383208995,1
4369785194,0
4352733912,0
4352288700,1
4375109948,0
4330348921,0
4353748225,0
4377414748,0
4351885922,1
4342153036,0
4347979638,1
4320314328,0
4372376503,1
4383098498,1
4316142945,1
4339926103,0
4380914569,1
4346845364,0
4371982529,0
4379280673,0
4377054249,1
4403841035,1
4375922884,1
4317912655,0
4353818892,0
4321854129,1
4362115625,0
4338422575,0
4383775970,1
4416025205,1
4376359781,0
4384554035,0
4330841429,1
4379280673,0
4338324431,0
4379698264,1
4374460573,1
4383671454,0
4344179152,1
4371503365,0
4380122518,0
4363726023,0
4344797604,0
4377035292,0
4361540849,0
4385982081,0
4380087942,1
4381621633,0
